__row,name,ra_1,dec_1,lii,bii,position_flag,radio_detect,flux_6_cm,ref_flux_6_cm,flux_20_cm,ref_flux_20_cm,redshift_flag,redshift,object_type,app_mag_flag,app_mag,bv_color,ub_color,abs_mag,ref_chart,ref_app_mag,ref_redshift,broad_type,class,__x_ra_dec,__y_ra_dec,__z_ra_dec,ra_2,dec_2,plate,mjd,fiberID,Separation
59633,SDSS J00071+0104,1.79083333,1.06666667,100.45721768,-59.85902609,O,N,,,,,,0.08,S2,V,18.18,0.75,0.51,-18.8,,3,951,AGN,7106,0.0312454336370166,0.999338369113633,0.0186157700388602,1.7909606,1.0666743,388,51793,444,0.4589153782729731
32442,Q 0004-016B,1.79125,-1.35111111,98.69883159,-62.12166648,,N,,,,,E,3.09,Q,V,18.5,,,-27.9,2673,,2673,QSO,7200,0.0312494271630438,0.999233454651193,-0.023579151974251,1.79190399999999,-1.351196,9402,58039,620,2.373501860749074
52018,UM 201,1.79166667,0.315,99.93834978,-60.56511924,O,N,,,,,,1.431,Q,V,18.87,0.35,-0.58,-25.1,1400,3,3,QSO,7200,0.0312649139607766,0.999496012896538,0.00549775944811331,1.791346,0.3150845,388,51793,436,1.1938025023413483
58263,UM 200,1.79166667,0.89138889,100.33941218,-60.02407523,O,Y,,,1.0,2530,,0.316,S1,V,17.25,0.33,-0.58,-23.3,1400,3,2680,QSO,7104,0.0312616027897195,0.999390159342174,0.0155570434544169,1.79172399999999,0.89140898,9407,58041,415,0.21866974669353992
38787,SDSS J00072-0040,1.82041667,-0.68222222,99.26809895,-61.50849684,O,N,,,,2068,,1.26,Q,V,19.75,0.56,-0.56,-23.7,,2068,2068,QSO,7200,0.0317646674726674,0.999424452062626,-0.0119067426138005,1.8207852,-0.6823557,686,52519,217,1.4109612642661957
36664,SDSS J00072-0051,1.82416667,-0.86027778,99.14141431,-61.67608409,O,N,,,,,,0.526,S1,V,19.59,0.14,-0.6,-22.2,,50,50,QSO,7104,0.0318287480222169,0.999380561714209,-0.0150141155960187,1.8242713,-0.86048954,686,52519,136,0.8502958122982801
41483,SDSS J00072-0028,1.82416667,-0.46972222,99.43353077,-61.31125801,O,Y,,,14.0,2068,,1.886,Q,V,21.1,0.3,-0.67,-23.4,,2068,2068,QSO,7200,0.0318312663782328,0.999459634759997,-0.00819810747494505,1.8238824,-0.46983708,1090,52903,146,1.103720430133124
99287,CRSS 0007.3+2042,1.84041667,20.70055556,109.22881817,-40.99545858,O,N,,,,,,0.769,Q,O,19.2,,,-23.8,,,287,QSO,7200,0.0300424299663327,0.934958060468131,0.353483914156484,1.84078299999999,20.70084,7594,56947,702,1.60325524365865
64265,Q 0004+0147,1.84375,2.07,101.21513439,-58.93133215,O,N,,2243,,,,1.71,Q,V,17.67,0.6,,-26.3,,774,1012,QSO,7200,0.0321529592865277,0.998830065539319,0.0361204565840214,1.843816,2.070247,7852,56987,978,0.9203568529147992
90008,SDSS J00074+1516,1.85041667,15.28277778,107.47855698,-46.26344904,O,N,,,,,,2.064,Q,V,19.02,0.24,-0.67,-25.8,,3,3,QSO,7200,0.0311483594276271,0.964133665712119,0.263583107094287,1.85033870000001,15.282691,6172,56269,60,0.41341614429755796
